date,name,category,value
2022-03-23,Refugees,hashtag,3
2022-03-22,gypsies,hashtag,3
2022-03-22,Warsaw,hashtag,3
2022-03-22,Putin's war,hashtag,3
2022-03-22,Secinfo,hashtag,3
2022-03-22,Pope,hashtag,3
2022-03-23,Wm,hashtag,3
2022-03-23,Pmqs,hashtag,3
2022-03-23,Ukrainecrisis,hashtag,3
2022-03-22,Scienceforukraine,hashtag,3
2022-03-23,Pixelart,hashtag,3
2022-03-22,Worldwaterday,hashtag,3
2022-03-22,Ukrainearmy,hashtag,3
2022-03-22,Sd,hashtag,3
2022-03-23,Wti,hashtag,3
2022-03-22,Strategiccompass,hashtag,3
2022-03-22,Wi,hashtag,3
2022-03-22,putin,hashtag,3
2022-03-22,Sendthemigs,hashtag,3
2022-03-22,Security,hashtag,3
2022-03-23,Wtpblue,hashtag,3
2022-03-22,Supportukraine,hashtag,3
2022-03-23,Sudradio,hashtag,3
2022-03-22,Wv,hashtag,3
2022-03-22,Paris,hashtag,3
2022-03-22,Ukraina,hashtag,3
2022-03-22,Pandemic,hashtag,3
2022-03-22,Pope francesco,hashtag,3
2022-03-22,With you,hashtag,3
2022-03-22,Saudi Arabia,hashtag,3
2022-03-22,Shame,hashtag,3
2022-03-22,Biological weapons,hashtag,3
2022-03-22,Banditry,hashtag,3
2022-03-22,Wheat,hashtag,3
2022-03-22,De,hashtag,3
2022-03-23,Ukrainerussia,hashtag,3
2022-03-22,Ukrainekrieg,hashtag,3
2022-03-23,Westandwithukraine,hashtag,3
2022-03-22,Stoprussianwarnow,hashtag,3
2022-03-22,Whatsapp,hashtag,3
2022-03-23,Whatshappeninginmyanmar,hashtag,3
2022-03-22,Bitcoin,hashtag,3
2022-03-22,Anjisalvacion,hashtag,3
2022-03-23,Stoprussianaggression,hashtag,3
2022-03-22,History4ukraine,hashtag,2
2022-03-23,Ucrania,hashtag,2
2022-03-22,Goodvibes,hashtag,2
2022-03-22,Gulag,hashtag,2
2022-03-22,Gramellini,hashtag,2
2022-03-22,Goptraitorstodemocracy,hashtag,2
2022-03-22,Ucrania,hashtag,2
2022-03-22,Government of the worst,hashtag,2
2022-03-22,Uae,hashtag,2
2022-03-22,Happy21stperthday,hashtag,2
2022-03-22,Twgrp,hashtag,2
2022-03-22,Health,hashtag,2
2022-03-23,Goptherussianparty,hashtag,2
2022-03-22,Uk,hashtag,2
2022-03-23,Ucraniarussia,hashtag,2
2022-03-22,Tv9bharatvarshno1,hashtag,2
2022-03-23,Pakistan,hashtag,2
2022-03-22,Tuesdayvibe,hashtag,2
2022-03-22,Invasion,hashtag,2
2022-03-22,Indianarmy,hashtag,2
